generacion,mejor_fitness,promedio_fitness,peor_fitness,mejor_lat,mejor_lon
116,0.8681123894235675,0.791046516282529,0.0,-43.30487231152408,-65.03856700761513
117,0.8681123894235675,0.729815841443406,0.0,-43.30487231152408,-65.03856700761513
118,0.8681123894235675,0.7574415326886863,0.0,-43.30487231152408,-65.03856700761513
119,0.8681123894235675,0.7759945888494792,0.0,-43.30487231152408,-65.03856700761513
120,0.8681123894235675,0.7696418510012095,0.0,-43.30487231152408,-65.03856700761513
121,0.8681123894235675,0.7379950166429994,0.0,-43.30487231152408,-65.03856700761513
122,0.8681123894235675,0.7207198711300434,0.0,-43.30487231152408,-65.03856700761513
123,0.8681123894235675,0.7790074738720091,0.0,-43.30487231152408,-65.03856700761513
124,0.8681123894235675,0.767420869489166,0.0,-43.30487231152408,-65.03856700761513
125,0.8681123894235675,0.7961431400614828,0.0,-43.30487231152408,-65.03856700761513
126,0.8681123894235675,0.7770344490136232,0.0,-43.30487231152408,-65.03856700761513
127,0.8681123894235675,0.771982822214842,0.0,-43.30487231152408,-65.03856700761513
128,0.8681123894235675,0.7599060183973927,0.0,-43.30487231152408,-65.03856700761513
129,0.8681123894235675,0.7769138901522723,0.0,-43.30487231152408,-65.03856700761513
130,0.8681123894235675,0.7682876197452277,0.0,-43.30487231152408,-65.03856700761513
131,0.8681123894235675,0.7697695831923069,0.0,-43.30487231152408,-65.03856700761513
132,0.8681123894235675,0.7326780668991415,0.0,-43.30487231152408,-65.03856700761513
133,0.8681123894235675,0.7423209446487836,0.0,-43.30487231152408,-65.03856700761513
134,0.8681123894235675,0.765638428934884,0.0,-43.30487231152408,-65.03856700761513
135,0.8681123894235675,0.7775670700229468,0.0,-43.30487231152408,-65.03856700761513
136,0.8681123894235675,0.7434273817779266,0.0,-43.30487231152408,-65.03856700761513
137,0.8681123894235675,0.7343674067606785,0.0,-43.30487231152408,-65.03856700761513
138,0.8681123894235675,0.7317881879710402,0.0,-43.30487231152408,-65.03856700761513
139,0.8681123894235675,0.7387696428050684,0.0,-43.30487231152408,-65.03856700761513
140,0.8681123894235675,0.7025894849970105,0.0,-43.30487231152408,-65.03856700761513
141,0.8681123894235675,0.7427254935842603,0.0,-43.30487231152408,-65.03856700761513
142,0.8681123894235675,0.7881725212429131,0.0,-43.30487231152408,-65.03856700761513
143,0.8681123894235675,0.7935422459839708,0.0,-43.30487231152408,-65.03856700761513
144,0.8681123894235675,0.8161423028358469,0.0,-43.30487231152408,-65.03856700761513
145,0.8681123894235675,0.7708363389756181,0.0,-43.30487231152408,-65.03856700761513
146,0.8681123894235675,0.7736711057147012,0.0,-43.30487231152408,-65.03856700761513
147,0.8681123894235675,0.769613498299606,0.0,-43.30487231152408,-65.03856700761513
148,0.8681123894235675,0.7669853746522037,0.0,-43.30487231152408,-65.03856700761513
149,0.8681123894235675,0.7820437585190426,0.0,-43.30487231152408,-65.03856700761513
150,0.8681123894235675,0.7390142027843298,0.0,-43.30487231152408,-65.03856700761513
151,0.8681123894235675,0.768319334658035,0.0,-43.30487231152408,-65.03856700761513
152,0.8681123894235675,0.8063455096254615,0.0,-43.30487231152408,-65.03856700761513
153,0.8681123894235675,0.7650252262084445,0.0,-43.30487231152408,-65.03856700761513
154,0.8681123894235675,0.7516473999634046,0.0,-43.30487231152408,-65.03856700761513
155,0.8681123894235675,0.7613021957747546,0.0,-43.30487231152408,-65.03856700761513
156,0.8681123894235675,0.7826992659728969,0.0,-43.30487231152408,-65.03856700761513
157,0.8681123894235675,0.7979826848277449,0.0,-43.30487231152408,-65.03856700761513
158,0.8681123894235675,0.7811077218841277,0.0,-43.30487231152408,-65.03856700761513
159,0.8681123894235675,0.7383078561720828,0.0,-43.30487231152408,-65.03856700761513
160,0.8681123894235675,0.7871799877389778,0.0,-43.30487231152408,-65.03856700761513
161,0.8681123894235675,0.7722278527516819,0.0,-43.30487231152408,-65.03856700761513
162,0.8681123894235675,0.7834786330653813,0.0,-43.30487231152408,-65.03856700761513
163,0.8681123894235675,0.7277968688839037,0.0,-43.30487231152408,-65.03856700761513
164,0.8681123894235675,0.7572473795071375,0.0,-43.30487231152408,-65.03856700761513
165,0.8681123894235675,0.7171083944839534,0.0,-43.30487231152408,-65.03856700761513
166,0.8681123894235675,0.7241584629984597,0.0,-43.30487231152408,-65.03856700761513
167,0.8681123894236018,0.7730036933748999,0.0,-43.30487231152408,-65.03856700761514
168,0.8681123894236018,0.7548921385922577,0.0,-43.30487231152408,-65.03856700761514
169,0.8681123894236018,0.7726238666212268,0.0,-43.30487231152408,-65.03856700761514
170,0.8681123894236018,0.7464308407287342,0.0,-43.30487231152408,-65.03856700761514
171,0.8681123894236018,0.7426394548907311,0.0,-43.30487231152408,-65.03856700761514
172,0.8681123894236018,0.7552535759764284,0.0,-43.30487231152408,-65.03856700761514
173,0.8681123894236018,0.7513215582666075,0.0,-43.30487231152408,-65.03856700761514
174,0.8681123894236018,0.7511418811128313,0.0,-43.30487231152408,-65.03856700761514
175,0.8681123894236018,0.7645418564297006,0.0,-43.30487231152408,-65.03856700761514
176,0.8681123894236018,0.6828371118445399,0.0,-43.30487231152408,-65.03856700761514
177,0.8681123894236018,0.7691993679808613,0.0,-43.30487231152408,-65.03856700761514
178,0.8681123894236018,0.7827642672259872,0.0,-43.30487231152408,-65.03856700761514
